China, 11948120.39D, 1186285.50D, 536920.23D, 13942868.65D
United States, 4464106.23D, 748241.95D, 258002.12D, 5505181.63D
India, 2396337.16D, 697655.79D, 279004.78D, 3500821.56D
Russia, 1797595.34D, 617227.45D, 69231.52D, 2631479.97D
Japan, 1054904.14D, 25783.20D, 18498.24D, 1104556.11D
Iran, 690864.47D, 174642.66D, 39720.97D, 967649.42D
Germany, 629099.32D, 46918.62D, 33815.79D, 781751.12D
South Korea, 605449.94D, 21990.23D, 10097.92D, 659330.40D
Indonesia, 591319.32D, 333995.79D, 75596.81D, 1024488.46D
Saudi Arabia, 574916.64D, 102631.34D, 8249.79D, 712585.13D
Canada, 548455.34D, 100143.46D, 47080.74D, 744709.43D
Brazil, 441369.91D, 449214.87D, 191103.98D, 1135709.94D
South Africa, 427816.24D, 72213.45D, 17993.55D, 546521.65D
Turkey, 416514.44D, 50445.65D, 38132.51D, 527956.78D
Mexico, 401126.14D, 143481.73D, 43291.64D, 599321.79D
Australia, 376779.95D, 131485.29D, 49332.83D, 571903.46D
Vietnam, 322018.76D, 79619.63D, 26833.67D, 470578.32D
United Kingdom, 318923.72D, 50416.24D, 27697.36D, 398324.97D
Poland, 295931.29D, 29540.61D, 22864.79D, 355384.14D
Italy, 295419.36D, 43889.47D, 15990.14D, 367129.74D
