China, 11948120.39, 1186285.50, 536920.23, 13942868.65
United States, 4464106.23, 748241.95, 258002.12, 5505181.63
India, 2396337.16, 697655.79, 279004.78, 3500821.56
Russia, 1797595.34, 617227.45, 69231.52, 2631479.97
Japan, 1054904.14, 25783.20, 18498.24, 1104556.11
Iran, 690864.47, 174642.66, 39720.97, 967649.42
Germany, 629099.32, 46918.62, 33815.79, 781751.12
South Korea, 605449.94, 21990.23, 10097.92, 659330.40
Indonesia, 591319.32, 333995.79, 75596.81, 1024488.46
Saudi Arabia, 574916.64, 102631.34, 8249.79, 712585.13
Canada, 548455.34, 100143.46, 47080.74, 744709.43
Brazil, 441369.91, 449214.87, 191103.98, 1135709.94
South Africa, 427816.24, 72213.45, 17993.55, 546521.65
Turkey, 416514.44, 50445.65, 38132.51, 527956.78
Mexico, 401126.14, 143481.73, 43291.64, 599321.79
Australia, 376779.95, 131485.29, 49332.83, 571903.46
Vietnam, 322018.76, 79619.63, 26833.67, 470578.32
United Kingdom, 318923.72, 50416.24, 27697.36, 398324.97
Poland, 295931.29, 29540.61, 22864.79, 355384.14
Italy, 295419.36, 43889.47, 15990.14, 367129.74
